id,genres,original_title,overview,backdrop_path,poster_path,budget,release_date,revenue,runtime,year,trailer
629542,"Family, Animation, Adventure, Comedy, Crime",The Bad Guys,"When the Bad Guys, a crew of criminal animals, are finally caught after years of heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison.",/63zr6GJJQMpf9BjUWzESbl2s2Qs.jpg,/7qop80YfuO0BwJa1uXk1DXUUEwv.jpg,80000000,2022-03-17,250162278,100,2022,zpDuBXB_glk
629015,"Thriller, Horror, Drama",Shut In,A young single mother is held captive along with her two children by a violent ex and must plot their escape before it’s too late.,/ufagam4FwlIcgPqJlr21EshNkNd.jpg,/b5ug4LyLQFeR6azAJyIPBQz5ur9.jpg,0,2022-03-24,304106,90,2022,VRRuC_ilORM
628900,"Action, Thriller",The Contractor,"After being involuntarily discharged from the U.S. Special Forces, James Harper decides to support his family by joining a private contracting organization alongside his best friend and under the command of a fellow veteran. Overseas on a covert mission, Harper must evade those trying to kill him while making his way back home.",/rSrJW3MHZLWBtiNV3fbVaqNYVpy.jpg,/rJPGPZ5soaG27MK90oKpioSiJE2.jpg,0,2022-03-10,2122288,103,2022,e7glvM8Xh0w
590223,"Comedy, Action, Adventure, Fantasy, Science Fiction",Love and Monsters,"Seven years since the Monsterpocalypse began, Joel Dawson has been living underground in order to survive. But after reconnecting over radio with his high school girlfriend Aimee, Joel decides to venture out to reunite with her, despite all the dangerous monsters that stand in his way.",/lA5fOBqTOQBQ1s9lEYYPmNXoYLi.jpg,/718NnyxyQuBQcGWt9sdelA1Zc3h.jpg,30000000,2020-10-16,1122066,109,2020,DdIHtymX_Fc
449562,"Comedy, Crime",The Hustle,"Two female scam artists, one low rent and the other high class, compete to swindle a naïve tech prodigy out of his fortune. A remake of the 1988 comedy ""Dirty Rotten Scoundrels.""",/s6awXOxTKYQLSktiIJfI3969dZH.jpg,/qZniBGQRESLIfxw6GeZLZ2G1osa.jpg,21000000,2019-05-09,97400000,94,2019,wN6izjmHaBk
12837,"Family, Adventure, Drama",The Secret Life of Bees,"Set in South Carolina in 1964, this is the tale of Lily Owens a 14 year-old girl who is haunted by the memory of her late mother. To escape her lonely life and troubled relationship with her father, Lily flees with Rosaleen, her caregiver and only friend, to a South Carolina town that holds the secret to her mother's past.",/3CcO4QdasRCitq2dczOpx7CXgLM.jpg,/m1LGEeoYfc6crbfG8WmTKg9SVqL.jpg,11000000,2008-09-17,38105395,114,2008,WY9RvcbzTCw
2251,"Thriller, Drama, Romance",Unfaithful,"Connie is a wife and mother whose 11-year marriage to Edward has lost its sexual spark. When Connie literally runs into handsome book collector Paul, he sweeps her into an all-consuming affair. But Edward soon becomes suspicious and decides to confront the other man.",/egVj5Y9f79xPnyAQJmeDR0Uwow3.jpg,/bjiHEhuiwhIygzjczbTPAA07cGc.jpg,50000000,2002-05-10,119137784,124,2002,EfptM8xKyUI
821427,Drama,The Novice,"A college freshman joins her university's rowing team and undertakes an obsessive physical and psychological journey to make it to the top varsity boat, no matter the cost.",/fXtPYJeXJ6NptDJqoEkRVs3usJz.jpg,/dCujw00nVfBrIJc1osoR6HC92SV.jpg,0,2021-12-17,24322,94,2021,Z4zCPgMdbo0
587807,"Comedy, Family, Animation",Tom & Jerry,"Tom the cat and Jerry the mouse get kicked out of their home and relocate to a fancy New York hotel, where a scrappy employee named Kayla will lose her job if she can’t evict Jerry before a high-class wedding at the hotel. Her solution? Hiring Tom to get rid of the pesky mouse.",/69USXLJEXcgMzlhZi7bmaCORxHn.jpg,/8XZI9QZ7Pm3fVkigWJPbrXCMzjq.jpg,50000000,2021-02-10,136536687,101,2021,kP9TfCWaQT4
537915,"Romance, Drama",After,"Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life.",/997ToEZvF2Obp9zNZbY5ELVnmrW.jpg,/u3B2YKUjWABcxXZ6Nm9h10hLUbh.jpg,14000000,2019-04-11,69497587,106,2019,2ZAdcWHuCmY
